id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
179,Vandalism,2013,8/23/2013,8/23/2013,Delmarva Power & Light Company,"New Castle, Delaware",RFC,"vandalism, physical",07:30:00,07:31:00,,
180,Vandalism,2013,8/22/2013,8/22/2013,Delmarva Power & Light Company,"New Castle, Delaware",RFC,"vandalism, physical",12:55:00,14:45:00,,
181,Sabotage,2013,8/22/2013,8/22/2013,Constellation Energy Control & Dispatch - for Gila River,"Gila River, Arizona",WECC,"vandalism, physical",08:40:00,11:49:00,,
182,Sabotage,2013,8/21/2013,8/21/2013,Entergy Arkansas Inc,"Cabot, Arkansas",SERC,"vandalism, physical",14:00:00,14:01:00,,
183,Severe Weather,2013,8/19/2013,8/20/2013,Southern California Edison Co,Central California,WECC,"severe weather, thunderstorm",19:06:00,06:02:00,124000.0,685.0
184,Severe Weather,2013,8/16/2013,8/17/2013,CenterPoint Energy,Houston Service Area Texas,TRE,"severe weather, thunderstorm",16:58:00,23:58:00,219681.0,
185,Suspicious Activity,2013,8/12/2013,8/12/2013,PacifiCorp,"Portland, Oregon",WECC,vandalism,11:55:00,11:59:00,,
186,Severe Weather,2013,8/7/2013,8/7/2013,We Energies,Eastern Central Wisconsin,MRO,"severe weather, thunderstorm",00:15:00,21:27:00,51160.0,220.0
187,Vandalism,2013,8/7/2013,8/8/2013,"Caithness Shepherds Flat, LLC","Arlington, Oregon",WECC,"vandalism, physical",14:30:00,13:00:00,,
188,Fuel Supply,2013,8/7/2013,8/7/2013,Wisconsin Public Service Corp,"Green Bay, Wisconsin",MRO,"fuel supply emergency, natural gas",07:30:00,09:14:00,,
189,Vandalism,2013,8/6/2013,8/6/2013,El Paso Electric,"Holloman Air Force Base, New Mexico",WECC,"vandalism, physical",16:00:00,17:32:00,,
190,Severe Weather,2013,8/5/2013,8/5/2013,WECC RC Vancouver,"Vancouver, British Columbia",WECC,"islanding, severe weather",18:35:00,18:45:00,,
191,Physical Attack,2013,8/4/2013,8/4/2013,Pacificorp,Utah,WECC,"vandalism, physical",03:00:00,04:00:00,,
192,Electrical System Separation,2013,8/1/2013,8/1/2013,WECC RC Vancouver,Western British Columbia,WECC,islanding,18:54:00,19:37:00,,420.0
193,Physical Attack,2013,8/1/2013,8/1/2013,Central Hudson Gas & Electric,"Newburgh, New York",NPCC,"vandalism, physical",11:00:00,16:00:00,,
194,Load Loss,2013,8/1/2013,8/2/2013,Florida Power & Light Co,Daytona Beach Florida,FRCC,load shedding,23:19:00,00:49:00,104498.0,297.0
195,Physical Attack,2013,7/25/2013,7/25/2013,Tacoma Power (TPWR),"Polk Substation, Tacoma Washington",WECC,"vandalism, physical",13:10:00,13:15:00,,
196,Severe Weather,2013,7/23/2013,7/25/2013,American Electric Power,"Tulsa, Oklahoma",SPP,"severe weather, thunderstorm",23:38:00,04:30:00,92748.0,500.0
197,Physical Attack,2013,7/22/2013,7/22/2013,Terra-Gen Operating Company,California,WECC,"vandalism, physical",07:00:00,15:00:00,,
198,Severe Weather,2013,7/19/2013,7/21/2013,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,"severe weather, thunderstorm",22:30:00,20:00:00,74300.0,
199,Severe Weather,2013,7/19/2013,7/20/2013,Detroit Edison Co,Michigan,RFC,"severe weather, thunderstorm",18:00:00,09:00:00,156627.0,
200,Public Appeal,2013,7/18/2013,7/19/2013,Niagara Mohawk Power Corp.,Upstate New York,NPCC,"public appeal, severe weather, heat",11:30:00,17:30:00,,
201,Equipment Failure,2013,7/18/2013,7/19/2013,San Diego Gas & Electric Co,Southern Orange County California,WECC,equipment failure,23:45:00,10:05:00,123000.0,200.0
202,Physical Attack,2013,7/18/2013,7/18/2013,PacifiCorp,Utah,WECC,"vandalism, physical",03:15:00,03:59:00,,
203,Fuel Supply,2013,7/17/2013,7/19/2013,Long Island Power Authority,"Holtsville, New York",NPCC,"fuel supply emergency, natural gas",15:30:00,06:45:00,,417.0
204,Physical Attack,2013,7/12/2013,7/12/2013,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",10:00:00,10:01:00,,
205,Physical Attack,2013,7/11/2013,7/14/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",23:20:00,15:22:00,,455.0
206,Severe Weather,2013,7/10/2013,7/11/2013,American Electric Power,AEP Ohio Power Footprint,RFC,"severe weather, thunderstorm",17:30:00,20:00:00,122314.0,
207,Physical Attack,2013,7/10/2013,7/10/2013,ISO New England,"Boston, Massachusetts",NPCC,"vandalism, physical",14:30:00,14:45:00,0.0,0.0
208,Physical Attack,2013,7/5/2013,7/5/2013,Pacific Gas & Electric Co,California,WECC,"vandalism, physical",00:05:00,01:51:00,2500.0,
209,Voltage Reduction,2013,7/3/2013,7/3/2013,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,"voltage reduction, generator trip",12:04:00,12:48:00,393000.0,480.0
210,Physical Attack,2013,7/3/2013,7/3/2013,Sacramento Municipal Utility District,Sacramento California,WECC,"vandalism, physical",09:34:00,10:52:00,0.0,0.0
211,Firm Load,2013,7/2/2013,7/5/2013,Western Electricity Coordinating Council,"Alberta, Canada",WECC,load shedding,14:20:00,15:30:00,,200.0
212,Equipment Failure,2013,6/28/2013,6/28/2013,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,equipment failure,18:02:00,20:46:00,65255.0,240.0
213,Physical Attack,2013,6/28/2013,6/28/2013,Delmarva Power & Light Company,New Castle Delaware,RFC,"vandalism, physical",17:14:00,17:15:00,,
214,Physical Attack,2013,6/28/2013,6/28/2013,ISO New England,Vermont,NPCC,"vandalism, physical",13:00:00,13:01:00,,
215,Physical Attack,2013,6/27/2013,6/27/2013,Potomac Electric Power Company,"Richie Substation,Seat Pleasant, Maryland",RFC,"vandalism, physical",01:10:00,02:45:00,,
216,Severe Weather,2013,6/27/2013,6/28/2013,Detroit Edison Co,South Eastern Michigan,RFC,"severe weather, thunderstorm",17:00:00,00:00:00,138000.0,
217,Severe Weather,2013,6/24/2013,6/25/2013,Exelon Corporation/ComEd,Illinois,RFC,"severe weather, thunderstorm",19:30:00,17:46:00,283451.0,
218,Severe Weather,2013,6/24/2013,6/26/2013,Northern Indiana Public Service Company,Indiana,RFC,"severe weather, thunderstorm",19:30:00,17:00:00,86615.0,
219,Severe Weather,2013,6/23/2013,6/24/2013,Pacific Gas & Electric Co,Central Coast California,WECC,"severe weather, fog",21:20:00,01:35:00,148000.0,
220,Physical Attack,2013,6/22/2013,6/22/2013,PacifiCorp,Medford Oregon,WECC,"vandalism, physical",04:59:00,21:28:00,,
221,Physical Attack,2013,6/22/2013,6/22/2013,NorthWestern Energy LLC - (MT),Eastern Montana,WECC,"vandalism, physical",16:12:00,17:45:00,,
222,Physical Attack,2013,6/21/2013,6/21/2013,Delmarva Power & Light Company,New Castle Delaware,RFC,"vandalism, physical",23:14:00,23:15:00,,
223,Cyber Attack,2013,6/21/2013,10/30/2013,ITC Transmission,"Michigan, Iowa",MRO,"vandalism, cyber",08:31:00,14:09:00,,
224,Physical Attack,2013,6/21/2013,6/21/2013,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,"vandalism, physical",07:40:00,12:14:00,1100.0,
225,Severe Weather,2013,6/21/2013,6/26/2013,Xcel Energy,Minnesota,MRO,"severe weather, hail",03:00:00,12:00:00,193000.0,
226,Severe Weather,2013,6/21/2013,6/24/2013,Xcel Energy,Minneapolis/St. Paul area Minnesota,MRO,"severe weather, hail",17:39:00,06:00:00,400000.0,
227,Vandalism,2013,6/20/2013,6/21/2013,Potomac Electric Power Co,"Richie Station (No. 123), Maryland",RFC,"vandalism, physical",18:00:00,10:00:00,,
228,Electrical System Separation,2013,6/19/2013,6/19/2013,Western Electricity Coordinating Council,"Alberta, Canada",WECC,islanding,19:57:00,20:09:00,,
229,Electrical System Separation,2013,6/18/2013,6/18/2013,Western Area Power Administration,Wyoming,WECC,islanding,15:51:00,16:23:00,,6.0
230,Firm Load,2013,6/17/2013,6/17/2013,Tampa Electric Co,Hillsborough County Florida,FRCC,load shedding,16:17:00,18:49:00,37.0,180.0
231,Severe Weather,2013,6/13/2013,6/14/2013,Southern Company,Southern Company Territory,SERC,"severe weather, thunderstorm",20:47:00,22:47:00,165798.0,550.0
232,Severe Weather,2013,6/13/2013,6/14/2013,American Electric Power,Ohio; Virginia; West Virginia,"RFC, SERC","severe weather, thunderstorm",15:20:00,21:10:00,90247.0,
233,Severe Weather,2013,6/13/2013,6/14/2013,Duke Energy Progress,Central and Eastern North Carolina,SERC,"severe weather, thunderstorm",17:45:00,18:30:00,53000.0,
234,Severe Weather,2013,6/13/2013,6/14/2013,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"severe weather, thunderstorm",13:17:00,17:35:00,175000.0,1000.0
235,Severe Weather,2013,6/13/2013,6/14/2013,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,"severe weather, thunderstorm",16:08:00,17:16:00,283000.0,900.0
236,Severe Weather,2013,6/13/2013,6/13/2013,Potomac Electric Power Company,District of Columbia; Maryland,RFC,"severe weather, thunderstorm",15:30:00,16:00:00,40000.0,700.0
237,Electrical System Separation,2013,6/3/2013,6/3/2013,WECC RC Vancouver,"Alberta, Canada",WECC,islanding,12:50:00,13:36:00,,
238,Severe Weather,2013,5/31/2013,6/1/2013,Ameren Missouri,St. Louis Metro Area Missouri,SERC,"severe weather, thunderstorm",19:30:00,20:00:00,100000.0,
239,System Interruption,2013,5/31/2013,6/1/2013,Coffeyville Municipal Light and Power,"Southeast Kansas, Northeast Oklahoma",MRO,transmission interruption,19:07:00,14:15:00,6300.0,102.0
240,Severe Weather,2013,5/31/2013,6/4/2013,Oklahoma Gas & Electric Co,"El Reno, S. Oklahoma City, Oklahoma",SPP,"severe weather, tornado",18:00:00,10:30:00,127000.0,
241,Severe Weather,2013,5/31/2013,5/31/2013,"Southwest Power Pool, Inc.","Maumelle, Arkansas",SPP,"severe weather, thunderstorm",01:00:00,01:30:00,,
242,Vandalism,2013,5/30/2013,5/30/2013,New York Power Authority,"Saranac, New York",NPCC,vandalism,10:15:00,10:16:00,,
243,Severe Weather,2013,5/29/2013,5/31/2013,Niagara Mohawk Power Corp.,Central and Eastern New York,NPCC,"severe weather, thunderstorm",20:58:00,14:53:00,61795.0,
244,Vandalism,2013,5/29/2013,5/29/2013,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,"vandalism, physical",09:52:00,09:53:00,,
245,Physical Attack,2013,5/29/2013,5/29/2013,Dominion Virginia Power,"Henrico County, Virginia",SERC,"vandalism, physical",00:00:00,00:02:00,,
246,Vandalism,2013,5/28/2013,5/28/2013,ISO New England,Maine,NPCC,"vandalism, physical",13:00:00,18:00:00,,
247,Voltage Reduction,2013,5/22/2013,5/22/2013,Puerto Rico Electric Power Authority,System wide Puerto Rico,PR,voltage reduction,10:51:00,10:57:00,197287.0,280.0
248,Firm Load,2013,5/20/2013,5/20/2013,Entergy Transmission - SOC,Gonzales Area Louisiana,SERC,"load shedding, generator trip",17:22:00,21:09:00,21800.0,103.0
249,Severe Weather,2013,5/20/2013,5/22/2013,Oklahoma Gas & Electric Co,"Moore, Oklahoma",SPP,"severe weather, tornado",15:00:00,17:00:00,41306.0,
250,Vandalism,2013,5/17/2013,5/17/2013,Delmarva Power & Light Company,"Newcastle, Delaware",RFC,vandalism,08:35:00,08:36:00,,
251,Vandalism,2013,5/15/2013,5/15/2013,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,vandalism,14:11:00,14:12:00,,
252,Vandalism,2013,5/14/2013,5/14/2013,PacifiCorp,"Portland, Oregon",WECC,"vandalism, physical",00:01:00,13:59:00,,
253,Vandalism,2013,5/14/2013,5/14/2013,Northeast Utilities/Public Service of New Hampshire,New Hampshire,NPCC,vandalism,10:25:00,11:42:00,,
254,Fuel Supply,2013,5/13/2013,Ongoing,California Department of Water Resources,Central California,WECC,"fuel supply emergency, hydro",12:52:00,,,176.0
255,Electrical System Separation,2013,5/9/2013,5/9/2013,WECC,"Alberta, Canada; Washington State",WECC,islanding,13:21:00,16:21:00,,
256,Electrical System Separation,2013,5/2/2013,5/2/2013,WECC,Unknown,WECC,islanding,06:52:00,10:07:00,,
257,Electrical System Separation,2013,5/1/2013,5/1/2013,Xcel Energy/Public Service Company of Colorado,Northeast Colorado,WECC,islanding,09:22:00,09:24:00,35230.0,123.0
258,Vandalism,2013,4/25/2013,4/26/2013,City and County of San Francisco,"Sunol, California",WECC,vandalism,16:00:00,10:55:00,0.0,0.0
259,Vandalism,2013,4/23/2013,4/23/2013,Delmarva Power & Light Company,"Newark, Delaware",RFC,vandalism,11:00:00,11:01:00,,
260,Electrical System Separation,2013,4/23/2013,4/23/2013,Pacific Gas & Electric Co,"South of Humboldt, California",WECC,islanding,00:49:00,04:04:00,1.0,80.0
261,Physical Attack,2013,4/21/2013,4/21/2013,Tennessee Valley Authority,East Tennessee,SERC,"vandalism, physical",02:11:00,12:30:00,,
262,Severe Weather,2013,4/18/2013,4/21/2013,Detroit Edison Co,"Southeast Michigan, Michigan",RFC,"severe weather, wind",15:00:00,03:30:00,99188.0,
263,Physical Attack,2013,4/17/2013,4/17/2013,Tennessee Valley Authority,"Colbert Steam Plant in Cherokee, Alabama",SERC,"vandalism, physical",15:36:00,16:53:00,,
264,Physical Attack,2013,4/16/2013,4/18/2013,Pacific Gas & Electric Co,California,WECC,vandalism,01:47:00,15:25:00,0.0,
265,Vandalism,2013,4/9/2013,4/9/2013,Delmarva Power & Light Company,"Delaware City, Delaware",RFC,vandalism,11:30:00,11:31:00,,
266,Vandalism,2013,4/3/2013,4/3/2013,Colorado Springs Utilities,"Colorado Springs, Colorado",WECC,vandalism,11:05:00,14:00:00,0.0,0.0
267,Vandalism,2013,4/1/2013,4/1/2013,ISO New England,Connecticut,NPCC,"vandalism, physical",08:40:00,08:41:00,,
268,Physical Attack,2013,3/29/2013,3/29/2013,Baltimore Gas and Electric,Maryland,RFC,"vandalism, physical",10:16:00,10:17:00,,
269,Vandalism,2013,3/28/2013,3/28/2013,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,vandalism,13:01:00,13:02:00,,
270,Physical Attack,2013,3/27/2013,3/27/2013,ISO New England,Western Massachusetts,NPCC,"vandalism, physical",10:25:00,12:19:00,,
271,Vandalism,2013,3/23/2013,3/23/2013,ISO New England,Connecticut,NPCC,vandalism,07:00:00,09:00:00,,
272,Physical Attack,2013,3/18/2013,3/18/2013,Jacksonville Electric Authority (JEA),Northeast Florida,FRCC,"vandalism, physical",17:50:00,18:07:00,0.0,0.0
273,Severe Weather,2013,3/18/2013,3/20/2013,Southern Company,North/Central Alabama; Georgia,SERC,"severe weather, thunderstorm",19:30:00,14:30:00,240000.0,800.0
274,Firm Load,2013,3/18/2013,3/18/2013,Puerto Rico Electric Power Authority,Systemwide Puerto Rico,PR,"load shedding, generator trip",05:21:00,05:41:00,262937.0,350.0
275,Severe Weather,2013,3/6/2013,3/7/2013,Dominion Virginia Power,Northwest Virginia,SERC,"severe weather, winter storm",08:22:00,10:27:00,233000.0,400.0
276,System Interruption,2013,3/4/2013,3/4/2013,Puerto Rico Electric Power Authority,Metropolitan area Puerto Rico,PR,"equipment failure, transmission interruption",09:49:00,22:00:00,,
277,Vandalism,2013,3/3/2013,3/3/2013,Potomac Electric Power Company,"Tacoma Park, Maryland",RFC,vandalism,16:27:00,18:20:00,,
278,System Interruption,2013,3/3/2013,3/3/2013,Pacific Gas & Electric Co,"Merced County, California",WECC,transmission interruption,06:39:00,10:29:00,58850.0,300.0
279,Severe Weather,2013,2/26/2013,3/1/2013,"Associated Electric Coop, Inc",Northern Missouri,SERC,"severe weather, winter storm",13:00:00,10:00:00,56444.0,
280,Vandalism,2013,2/21/2013,2/21/2013,El Paso Electric,"Las Cruces, New Mexico",WECC,vandalism,11:00:00,11:30:00,,
281,Electrical System Separation,2013,2/19/2013,2/20/2013,Pacific Gas & Electric Co.,"Stockton, California",WECC,islanding,16:01:00,12:55:00,6810.0,13850.0
282,Vandalism,2013,2/16/2013,2/16/2013,Potomac Electric Power Company,Prince George's County Maryland,RFC,vandalism,07:54:00,07:54:00,1.0,1.0
283,Vandalism,2013,2/15/2013,2/15/2013,Potomac Electric Power Company,"Tuxedo, Maryland",RFC,vandalism,00:00:00,00:01:00,,
284,Fuel Supply,2013,2/13/2013,2/15/2013,Footprint Power Salem Harbor Operations LLC,Eastern Massachusetts,NPCC,"fuel supply emergency, petroleum",17:39:00,17:50:00,1.0,1.0
285,Vandalism,2013,2/13/2013,2/13/2013,Potomac Electric Power Company,"Fort Washington, Maryland",RFC,vandalism,09:30:00,09:30:00,1.0,1.0
286,Voltage Reduction,2013,2/10/2013,2/10/2013,Puerto Rico Electric Power Authority,Puerto Rico,PR,"voltage reduction, generator trip",19:46:00,20:15:00,,350.0
287,Vandalism,2013,2/9/2013,2/9/2013,El Paso Electric Co.,"El Paso, New Mexico",WECC,"vandalism, equipment failure",08:30:00,15:00:00,,
288,Severe Weather,2013,2/8/2013,2/11/2013,ISO New England/National Grid,Central and eastern Massachusetts; Rhode Island,NPCC,"severe weather, winter storm",20:00:00,20:30:00,50000.0,
289,Equipment Failure,2013,2/8/2013,2/8/2013,Potomac Electric Power Company,District of Columbia; Prince George's County Maryland,RFC,equipment failure,11:38:00,14:17:00,52000.0,140.0
290,Severe Weather,2013,2/8/2013,2/12/2013,ISO New England/NSTAR,Boston area and Southeast Massachusetts,NPCC,"severe weather, winter storm",20:55:00,04:00:00,50000.0,
291,Vandalism,2013,2/7/2013,2/7/2013,Duke Energy Ohio Inc,"Cincinnati, Ohio",RFC,vandalism,08:32:00,09:47:00,0.0,
292,Vandalism,2013,2/2/2013,2/2/2013,El Paso Electric Co.,"El Paso, New Mexico",WECC,vandalism,21:15:00,22:15:00,,
293,Severe Weather,2013,1/31/2013,1/31/2013,ISO New England,Connecticut,NPCC,"severe weather, wind",06:30:00,10:00:00,75000.0,75.0
294,Severe Weather,2013,1/31/2013,1/31/2013,Dominion Virginia Power,Central and Eastern Virginia,SERC,"severe weather, wind",03:05:00,04:48:00,119000.0,188.0
295,Physical Attack,2013,1/28/2013,1/28/2013,Tacoma Power (TPWR),"Tacoma Narrows Crossing, Washington",WECC,"vandalism, physical",16:46:00,18:00:00,,
296,Severe Weather,2013,1/20/2013,1/23/2013,Detroit Edison Co,Southeastern Michigan,RFC,"severe weather, wind",03:30:00,06:15:00,146500.0,
297,Distribution Interruption,2013,1/17/2013,1/17/2013,North Carolina Eastern M P A,"Elizabeth City, North Carolina",SERC,distribution interruption,20:35:00,21:20:00,12000.0,40.0
298,Severe Weather,2013,1/17/2013,1/20/2013,American Electric Power (AEP),"Southwest Virginia, Southern West Virginia",RFC,"severe weather, winter storm",18:07:00,19:30:00,127000.0,
299,Severe Weather,2013,1/17/2013,1/19/2013,Tennessee Valley Authority,Northeast Tennessee,SERC,"severe weather, winter storm",19:02:00,18:00:00,80000.0,
300,Physical Attack,2013,1/16/2013,1/16/2013,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,"vandalism, physical",16:45:00,19:26:00,0.0,0.0
301,Vandalism,2013,1/16/2013,1/16/2013,Delmarva Power & Light Company,"Denton, Maryland",RFC,"vandalism, physical",14:25:00,14:25:00,,
302,Physical Attack,2013,1/16/2013,1/17/2013,MidAmerican Energy Co,"Webster County, Iowa",MRO,"vandalism, physical",07:41:00,10:58:00,,
303,Vandalism,2013,1/7/2013,1/7/2013,Delmarva Power & Light Company,"Denton, Maryland",RFC,"vandalism, physical",10:43:00,10:43:00,,
304,Transmission Equipment,2012,12/31/2012,12/31/2012,City of Washington - (NC),North Carolina,SERC,transmission interruption,14:21:00,16:30:00,12000.0,40.0
305,Severe Weather,2012,12/26/2012,12/26/2012,Town of Stantonsburg - (NC),"Stantonsburg, North Carolina",SERC,"severe weather, thunderstorm",14:50:00,19:40:00,1200.0,3.0
306,Severe Weather,2012,12/25/2012,12/26/2012,CenterPoint Energy,"Houston, Texas",TRE,"severe weather, cold, wind",09:28:00,16:28:00,262000.0,294.0
307,Severe Weather,2012,12/25/2012,12/28/2012,Entergy,Arkansas; Louisiana; Mississippi; Texas,SPP,"severe weather, winter storm",00:45:00,16:15:00,242509.0,
308,Physical Attack,2012,12/17/2012,12/17/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,"vandalism, physical",06:55:00,07:00:00,0.0,0.0
309,Firm Load,2012,12/6/2012,12/6/2012,California Department of Water Resources,"Greater San Jose, California",WECC,load shedding,21:18:00,21:31:00,,390.0
310,Physical Attack,2012,12/3/2012,12/3/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,"vandalism, physical",12:02:00,12:30:00,0.0,0.0
311,Severe Weather,2012,12/2/2012,12/4/2012,Pacific Gas & Electric Co,Northern California,WECC,"severe weather, winter storm",05:20:00,09:00:00,125000.0,250.0
312,Physical Attack,2012,11/27/2012,11/27/2012,ISO New England,New Hampshire,NPCC,"vandalism, physical",13:07:00,13:40:00,0.0,0.0
313,Physical Attack,2012,11/26/2012,11/26/2012,Delmarva Power & Light Company,"Georgetown, Delaware",RFC,"vandalism, physical",15:07:00,15:08:00,,
314,Physical Attack,2012,11/26/2012,11/26/2012,Delmarva Power & Light Company,"Frankfort, Delaware",RFC,"vandalism, physical",12:37:00,12:38:00,0.0,0.0
315,Physical Attack,2012,11/21/2012,11/21/2012,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,"vandalism, physical",14:50:00,14:51:00,,
316,Fuel Supply,2012,11/17/2012,11/18/2012,ERCOT,"Comanche Peak, Texas",TRE,fuel supply emergency,10:00:00,10:00:00,0.0,1231.0
317,Cyber Attack,2012,11/15/2012,11/15/2012,ITC Transmission,Iowa; Michigan,MRO,"vandalism, cyber",21:09:00,21:26:00,,
318,Physical Attack,2012,11/15/2012,11/15/2012,ISO New England,Southeast Massachusetts,NPCC,"vandalism, physical",05:38:00,05:39:00,0.0,0.0
319,Physical Attack,2012,11/8/2012,11/8/2012,Delmarva Power & Light Company,"Bishopville, Maryland",RFC,"vandalism, physical",09:34:00,09:35:00,0.0,0.0
320,Physical Attack,2012,11/7/2012,11/7/2012,ISO New England,New Hampshire,NPCC,"vandalism, physical",14:21:00,14:48:00,0.0,0.0
